Artist,Album,Year,ID,,,,,,,,,,,,,,,,,,,,,
Nirvana,MTV Unplugged In New York (25th Anniversary),2019,1tsNAUQqofHrnlezRK8D5R,,,,,,,,,,,,,,,,,,,,,
Paul Simon,Seven Psalms,2023,2W88kNmADcEEvcaJPVGZHF,,,,,,,,,,,,,,,,,,,,,
Peso Pluma,"Disco en Vivo, Vol.2 (En Vivo)",2020,38axttNElf1zwOUvInHwpx,,,,,,,,,,,,,,,,,,,,,
Peso Pluma,Disco en Vivo (En Vivo),2020,6GFrP5y4e18yKiRnCnRYom,,,,,,,,,,,,,,,,,,,,,
Phil Collins,Remixed Sides,2019,0lX4ieUvpJ647IjenGzl6X,,,,,,,,,,,,,,,,,,,,,
Phil Collins,Other Sides,2019,0NyaIDMlen4ZYjS2xqUX1g,,,,,,,,,,,,,,,,,,,,,
Phoenix,Wolfgang Amadeus Phoenix (Remix Collection),2009,71xE14rBkQAKCziEl0e6BA,,,,,,,,,,,,,,,,,,,,,
Pink Floyd,The Dark Side Of The Moon (Live at Wembley 1974) [2023 Master],2023,6SDPwUC74HcxwB84kPs4pM,,,,,,,,,,,,,,,,,,,,,
Pitbull,Gotti (Original Motion Picture Soundtrack),2018,6ZSNnOY2ESMNoVQ5DdvHrj,,,,,,,,,,,,,,,,,,,,,
Portugal. The Man,Oregon City Sessions,2021,0BzIFo6hW30NFn7NpZxfPL,,,,,,,,,,,,,,,,,,,,,
Queen,Queen On Air,2016,60TXSuzXQoEy3p5cQEkLu7,,,,,,,,,,,,,,,,,,,,,
Queen,Bohemian Rhapsody (The Original Soundtrack),2018,3BHe7LbW5yRjyqXNJ3A6mW,,,,,,,,,,,,,,,,,,,,,
Queen,The Miracle (Collector's Edition),2022,3CY1m3w0rn3MEiYrDEpiAv,,,,,,,,,,,,,,,,,,,,,
R.E.M.,New Adventures In Hi-Fi (25th Anniversary Edition),2021,5wBz69rJgZF0s2y2KWQXfV,,,,,,,,,,,,,,,,,,,,,
Radiohead,OK Computer OKNOTOK 1997 2017,2017,0tzfI6NFJqcJkWb23R3lRZ,,,,,,,,,,,,,,,,,,,,,
RÜFÜS DU SOL,Desert Night (Remixes),2013,1bVgzdWmcAysGHsUgLZZ7g,,,,,,,,,,,,,,,,,,,,,
RÜFÜS DU SOL,SOLACE REMIXED,2019,4xxkZCrb0e2oKqIrzGHPLk,,,,,,,,,,,,,,,,,,,,,
RÜFÜS DU SOL,Live from Joshua Tree,2020,5OcHrujEkMm1x4FSihxTgv,,,,,,,,,,,,,,,,,,,,,
RÜFÜS DU SOL,Surrender (Remixes),2022,73TcBRSRsPLKmxnjnVsSV3,,,,,,,,,,,,,,,,,,,,,
Rauw Alejandro,Concierto Virtual en Tiempos de COVID-19 Desde el Coliseo de Puerto Rico,2020,0i9MBa4hxPQcGqcOn5YSOz,,,,,,,,,,,,,,,,,,,,,
Ray Charles,"Modern Sounds in Country and Western Music, Vols 1 & 2",2009,4j4w5DDWMKD7ePStAl19OF,,,,,,,,,,,,,,,,,,,,,
Rihanna,Good Girl Gone Bad: The Remixes,2009,6nT2WJS6WHH86XRgkSK8yC,,,,,,,,,,,,,,,,,,,,,
Rihanna,Rated R: Remixed,2010,2wi0v7jPzYBCd99GggLtN8,,,,,,,,,,,,,,,,,,,,,
Romeo Santos,Utopia Live From MetLife Stadium,2021,2JWG9FSkVSEe63zXq4d2LL,,,,,,,,,,,,,,,,,,,,,
Snoop Dogg,Snoop Dogg Presents Algorithm (Global Edition),2021,7byrahgNLbCzZgp9w5WBxW,,,,,,,,,,,,,,,,,,,,,
Snoop Dogg,Snoop Dogg Presents Algorithm,2021,61qj9MgqlVi0xzi55mHZiX,,,,,,,,,,,,,,,,,,,,,
Snoop Dogg,Snoop Dogg Presents Death Row Summer 2022,2022,78R84o4n1a3LxcdzgGZKfC,,,,,,,,,,,,,,,,,,,,,
Snoop Dogg,"Metaverse: The NFT Drop, Vol. 2",2022,282N9Yf8R9zFqSgB80r2qo,,,,,,,,,,,,,,,,,,,,,
Soda Stereo,Zona de Promesas (Mixes 1984 - 1993),1988,6Vxa62nfEzoFx8kc8lhpj1,,,,,,,,,,,,,,,,,,,,,
Stevie Wonder,Additional Singles & Rarities,2019,0tprlYfYw9Y1fjq5SUFEQp,,,,,,,,,,,,,,,,,,,,,
Stevie Wonder,Mono Singles,2019,7oMcO4p7P1JtJR2G1v2NoK,,,,,,,,,,,,,,,,,,,,,
Stevie Wonder,Remixes,2019,0MHwfULQThhdhitVzHnyC4,,,,,,,,,,,,,,,,,,,,,
Sublime,Sublime Acoustic: Bradley Nowell & Friends,1998,760Zl8uV0tMet5ihlXOYDX,,,,,,,,,,,,,,,,,,,,,
Sublime,Stand By Your Van - Live!,1998,7AR3ee5m8Nwc5s3W2POewq,,,,,,,,,,,,,,,,,,,,,
Sublime,Sublime Meets Scientist & Mad Professor Inna L.B.C.,2021,1uFb8xIikYRlfXfsHpnEMu,,,,,,,,,,,,,,,,,,,,,
Sublime,"$5 At The Door (Live at Tressel Tavern, 1994)",2023,4SsUhMdeVbtmIVpHps7Jzc,,,,,,,,,,,,,,,,,,,,,
Sum 41,All The Good Sh**. 14 Solid Gold Hits (2000-2008),2009,2XrJPX9s4pUSrsV7GqIOeF,,,,,,,,,,,,,,,,,,,,,
Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0PZ7lAru5FDFHuirTkWe9Z,,,,,,,,,,,,,,,,,,,,,
The Beach Boys,The Beach Boys’ Party! Uncovered And Unplugged,2015,6WJJsJ787nHobhFR6c5VKv,,,,,,,,,,,,,,,,,,,,,
The Beach Boys,Becoming the Beach Boys: The Complete Hite & Dorinda Morgan Sessions,2016,1gubtTsNSrdWZc2GJJ5LR2,,,,,,,,,,,,,,,,,,,,,
The Beach Boys,The Beach Boys On Tour: 1968 (Live),2018,735pCVxLq95jxO16eFP2qL,,,,,,,,,,,,,,,,,,,,,
The Beach Boys,"""Feel Flows"" The Sunflower & Surf’s Up Sessions 1969-1971 (Super Deluxe)",2021,3mXapRk3gmW2Uk6TZlDMvM,,,,,,,,,,,,,,,,,,,,,
The Beatles,On Air - Live At The BBC (Vol.2),2013,4On0Hf7VJC1jz5gXY2cU8p,,,,,,,,,,,,,,,,,,,,,
The Beatles,Yellow Submarine Songtrack,2014,0XRZpF083HqgygM0v1hQyE,,,,,,,,,,,,,,,,,,,,,
The Beatles,Let It Be... Naked (Remastered),2014,4KYcffwC5HgjJLdpQU9SjC,,,,,,,,,,,,,,,,,,,,,
The Beatles,The Beatles,2018,1WMVvswNzB9i2UMh9svso5,,,,,,,,,,,,,,,,,,,,,
The Beatles,Get Back (Rooftop Performance),2022,6emgUTDksZyhhWmtjM9FCs,,,,,,,,,,,,,,,,,,,,,
The Kinks,At the BBC,2012,6VSy4fCVbMy243YXaL1iJ4,,,,,,,,,,,,,,,,,,,,,
The Kinks,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",2014,6lL6HugNEN4Vlc8sj0Zcse,,,,,,,,,,,,,,,,,,,,,
The Kinks,Arthur or the Decline and Fall of the British Empire (Deluxe),2019,00ao0DAIYS0BNEbnbH0UCf,,,,,,,,,,,,,,,,,,,,,
The Kinks,Everybody's in Show-Biz (Deluxe) [2022 Remaster],2022,5l5NprVV6sgV8K4gUVIwBl,,,,,,,,,,,,,,,,,,,,,
The Kinks,Muswell Hillbillies [Deluxe (2022 Remaster)],2022,2qDjT37F61kqhINePcuOQS,,,,,,,,,,,,,,,,,,,,,
The Kinks,The Journey - Pt. 1,2023,06DVyuQqluIXo2RAR4TF4s,,,,,,,,,,,,,,,,,,,,,
The Neighbourhood,I Love You. (Sped Up),2013,6nDM0bDRJ1Ni1sMzx7YQ0J,,,,,,,,,,,,,,,,,,,,,
The Neighbourhood,I Love You. (Slowed Down),2013,742rc3IvCNtvhEZIsjLfyu,,,,,,,,,,,,,,,,,,,,,
The Neighbourhood,I Love You. (10th Anniversary Edition),2013,5n7S9xN6tYY8aGJU3kE0Va,,,,,,,,,,,,,,,,,,,,,
The Notorious B.I.G.,Music Inspired By Biggie: I Got A Story To Tell,2021,0Y2G7k6Znc8iiYP7xiIADr,,,,,,,,,,,,,,,,,,,,,
The Notorious B.I.G.,Life After Death (25th Anniversary Super Deluxe Edition),2022,6gW08XWRBd2Wnszyo5ZI6l,,,,,,,,,,,,,,,,,,,,,
