Artist Name,Track Name,Track ID,Value,Type
*NSYNC,In Love on Christmas,4fxvrCE59SCkLu5ardAXAT,0,ins
*NSYNC,It's Christmas,0piPAJS8d1xLTK57tX8quf,0,ins
*NSYNC,O Holy Night - A Cappella,7JkCwoxICUtwg2PrvxBlJ5,0,ins
*NSYNC,Love's in Our Hearts on Christmas Day,3WpYTjY9L7QxUhIjMf9pFa,1,mo
*NSYNC,The Only Gift,10CPaH7on90QzTUxbxT20L,0,ins
*NSYNC,Kiss Me at Midnight,4mOPMSyc9tQsiB4BWFshbQ,1,mo
*NSYNC,Tearin' up My Heart - Radio Edit,594M0rqYMOo8BhMGEdoi5C,1,mo
*NSYNC,Here We Go - Radio Cut,0aYMFyDeGgOIUUMqfGYg00,0,ins
*NSYNC,(God Must Have Spent) A Little More Time On You,4mljNnZ2eaXKSbEAOzLlLE,0,ins
*NSYNC,Everything I Own,2DrxV6hp0zGQ6LX7B3aI4j,0,ins
*NSYNC,Thinking of You (I Drive Myself Crazy),2lFmoFR906U2ztvMMuJ0ep,0,ins
Cardi B,Intro (Skit) (feat. The Breakfast Club),0n6qoCWeQuMfSVDDOF1RSE,0.955,sp
Cardi B,Outro (Skit) (feat. Lisa Evers),65E62IKAS6cnO46fpkDhx1,0.956,sp
Demi Lovato,Stone Cold Intro (Commentary) - Live from Spotify NYC,2BXOGamZTlEoNPBPdfqo12,0.953,sp
Demi Lovato,Father Intro (Commentary) - Live from Spotify NYC,26x0nnZqPPrqXaDoYS7J3o,0.954,sp
Demi Lovato,Interview Part 3 - Live from Spotify NYC,4kyoHXSo7JowZ4Ak5l40Jx,0.959,sp
DMX,The Prayer VI,3013vIp8qISGsVsb10WRlV,0.964,sp
DMX,The Prayer IV,6tZzlqOrWgIPOoq4uw78Dt,0.958,sp
Thomas Chong,Outro,4rmK0BSBLMiwNJ6iwWXJm1,0.949,sp
Paul Rosenberg,Paul - Skit,0Uv5Kp8sEnriJjkX4oLfNI,0.966,sp
Master P,MP,71vxvadFTNj1Hx4LqLEBkl,0.953,sp
Kanye West,Skit #3,2Xn5DIyAba7Fgyky3gU3rA,0.956,sp
Kanye West,School Spirit Skit 1,25mwJPzWVmS2yronBNQJF1,0.95,sp
Kehlani,Intro,2Nd2HLWrIq1DcNMiYPTQUC,0.949,sp
Kehlani,Intro,3G9GZsgNp2RQwzkzsYWfnK,0.951,sp
Magdalena Bay,secret 11,0Pvw0WQ1AVSZM5SiuxKBN1,0.949,sp
Mary J. Blige,Forever No More - Poem,6kOPJgXbV8NKFRNtMvW2gI,0.961,sp
Mary J. Blige,Forever No More,0a91EhOzIczwdNtYjeFKoQ,0.958,sp
Quincy Jones,Voice-Over Intro Quincy Jones Interview #2/Quincy Jones Interview #2 / Voice-Over Intro Billie Jean (Demo),5hYxcTFDceQRd9jQKn6N6T,0.953,sp
Michael Jackson,Voice-Over Intro / Voice-Over Session from Thriller,51PXL2lCvWSN41KhOcVdBE,0.96,sp
Mike Posner,Sage Wisdom From Steven Tyler,5NZIxHUlPccHHmLSgS7AQF,0.959,sp
Nelly,Fuck It Then,420vO6ll9zXZebYKUqvstj,0.952,sp
Nelly,Fuck It Then,1E0u5Fr5dA89iq1VeF0ZIC,0.953,sp
Red Hot Chili Peppers,Audio Commentary for Stadium Arcadium - Short Version,3woCbTsNHhU8lvhgvZ3rJ2,0.959,sp
Romeo Santos,Skit - With a Special Character,1QvxgBdiJ4lQy3NGQbG78k,0.957,sp
ROSALÍA,Abcdefg,5EbsCDXjzmwtHm70q87VHt,0.951,sp
SAULT,Add a Little Bit of Sault,3tlgj2xwwn4Ma0WCS6iils,0.953,sp
Tate McRae,?,0hh6usshPzFf6j0lGkhMs3,0.961,sp
The Beatles,"A Little Rhyme - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",3DNENIsGC1h2tXNfPlq62g,0.954,sp
The Kid LAROI,NEW GUY (skit),4ptpUofmWMGsb8Xg1138L3,0.949,sp
Wu-Tang Clan,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk) - A Cappella",61QU5MPwOReHIAfnY4vh54,0.95,sp
AFI,Veronica Sawyer Smokes,6SN4qm8A1aQNvZm52dLAvu,215.672,te
AFI,Veronica Sawyer Smokes,6z3565Zx1up8GDxluz6mHX,215.681,te
Beach House,Lazuli,6HdMeOwJXD3oY1Thn1bsCY,219.446,te
Carrie Underwood,Cupid's Got a Shotgun,24w0eusbTsyhPkJj72LUIm,216.029,te
Demi Lovato,Melon Cake,3usqDhtQDygYgZOLNCeZ3J,220.065,te
Demi Lovato,Melon Cake,6YiFO4Z74jjyJXWfqLH0Gy,220.065,te
Demi Lovato,Melon Cake,1qWjN1wINoiSJJqEXjiD0h,220.065,te
Fatboy Slim,Slash Dot Dash,1uTyD0bjuLMPbep9jSKKwg,220.041,te
Fleetwood Mac,Talk With You (Demo) [Remastered],5CD6huXlCbeMeZXb0wvTbc,241.005,te
Gustavo Cerati,Balsa,2xYRvCEGzG1GUoORlsvLn2,222.942,te
Janet Jackson,Funky Big Band,0GN1EmGeyssYIUoAjFTGmY,216.26,te
Janet Jackson,Funky Big Band,3PnaTzx5PPcSeN6EGWjWZQ,216.25,te
John Lennon,It's So Hard - Take 6,0l0uVCpKX1G27aqJXovlHr,240.463,te
John Lennon,It's So Hard - Take 11 / Raw Studio Mix,0snWICG67EiYJmiDvuws47,240.699,te
M.I.A.,Talk,5BYWVdnA0INZ2L39RKrown,219.105,te
Mary J. Blige,I Feel Good,1UN38PVX98aRV90tPHAfJ9,216.216,te
P!nk,Numb,2mnd5CBjJ4ahz4E2WLWtSv,217.173,te
Pearl Jam,Spin the Black Circle - Remastered,7Al0ADUt8SCPiQIBbTcNdR,217.913,te
Plain White T's,Let's Pretend,1A5KjJTvlmgkySN8RjwoGi,217.396,te
Sabrina Carpenter,In My Bed,1FjD1jpm51dH5LzLvrDVPY,218.365,te
Stevie Wonder,Love Light In Flight,5TKz8J4Noz4nZSFIOpHpMm,217.396,te
Stone Temple Pilots,Guilty,7sJox5h7NchsKuX4ld78F8,220.025,te
lonelyboy,rivers of babylon - lofi,6K70ZuEU0XCCbsy0UvQndx,219.913,te
The Goo Goo Dolls,Keep the Car Running,56hrxrPNeaiI8GlJMKKVUB,217.763,te
The Goo Goo Dolls,Keep the Car Running,3xstSC6z3MIQGGgxlOfZB1,217.763,te
The Offspring,Secrets From The Underground,1KblaMkte0ZEyk9k6kLW92,217.88,te
Thirty Seconds To Mars,Convergence,7KH1m5ni4SIU0e1tbXyyDD,216.153,te
YNW Melly,Mama Cry,2fSW54bA6x2iWePU7rpCiP,220.099,te
