Artist,Album,Year,Popularity,Duration,Cover,ID,Language,acousticness,danceability,energy,instrumentalness,loudness,mode,speechiness,tempo,valence,liveness
Lil Durk,They Forgot,2017,41,42.0,https://i.scdn.co/image/ab67616d0000b273d2dd9bc96b06d9b2bee07b70,7M04O54J8wm16ziDsGclWI,English,0.082,0.666,0.556,0.001,-8.789,0.462,0.239,143.224,0.387,0.159
Lil Durk,Lil Durk 2X (Deluxe),2016,50,45.4,https://i.scdn.co/image/ab67616d0000b27311da12ff86cdc57b55484cbb,0V68iflWNZri1Zc8txsLyg,English,0.077,0.761,0.572,0.002,-7.005,0.615,0.224,131.58,0.381,0.13
Lil Durk,300 Days 300 Nights,2015,46,59.5,https://i.scdn.co/image/ab67616d0000b2736424468118dd8ca8dedb2938,7dgbUj8qhJGj7tYsM67JM3,English,0.151,0.703,0.61,0.0,-6.748,0.421,0.248,131.91,0.447,0.165
Lil Nas X,MONTERO,2021,81,41.3,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,6pOiDiuDQqrmo5DbG0ZubR,English,0.264,0.666,0.612,0.0,-7.213,0.267,0.122,129.254,0.447,0.174
Lil Peep,EVERYBODY'S EVERYTHING,2019,60,57.8,https://i.scdn.co/image/ab67616d0000b273c73bd9b0e34b067d7d3bd7b9,1r1Xt6oUnY3VMYbQb1U7CO,English,0.146,0.662,0.555,0.029,-7.066,0.632,0.06,129.296,0.363,0.184
Lil Peep,"Come Over When You're Sober, Pt. 2",2018,77,44.8,https://i.scdn.co/image/ab67616d0000b27355e36b0dc5b0ef008fc85319,52JymrguPgkmmwLaWIusst,English,0.098,0.55,0.638,0.033,-7.055,0.462,0.061,121.156,0.27,0.183
Lil Peep,HELLBOY,2016,74,44.3,https://i.scdn.co/image/ab67616d0000b273853588a3fc815ab6c6464475,08VSO0uoR2SaKrxcFoJ235,English,0.067,0.546,0.659,0.0,-6.793,0.688,0.097,135.585,0.311,0.141
Lil Peep,crybaby,2016,76,28.5,https://i.scdn.co/image/ab67616d0000b2731fdf8f713b0f86a99f5483b0,4MTh1JiOhgK2BQQjKI5RyI,English,0.099,0.611,0.57,0.0,-7.655,0.7,0.052,108.601,0.269,0.198
Lil Tecca,We Love You Tecca 2 (Deluxe),2021,57,60.0,https://i.scdn.co/image/ab67616d0000b2736dd072a9977e70ea9bb69810,2ybRB5pXB2XCjLbvRQMrw9,English,0.099,0.691,0.57,0.0,-8.213,0.32,0.276,121.99,0.461,0.126
Lil Tecca,We Love You Tecca 2,2021,71,47.6,https://i.scdn.co/image/ab67616d0000b273f156ced88fa6920e86ddf11f,7nTvm6EgmFWPLMLxj6aksS,English,0.084,0.713,0.576,0.0,-8.151,0.4,0.276,122.052,0.456,0.121
Lil Tecca,Virgo World,2020,73,45.7,https://i.scdn.co/image/ab67616d0000b2732026d0048432d395f6f715b5,389zGArsMlwuPorS4Cw7IX,English,0.112,0.667,0.58,0.0,-8.78,0.368,0.199,109.702,0.478,0.14
Lil Tecca,We Love You Tecca,2019,80,42.9,https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058,1I6FpscJIfwf4T56VxGVsB,English,0.208,0.68,0.573,0.0,-7.596,0.167,0.264,136.469,0.438,0.138
Lil Uzi Vert,Pink Tape,2023,87,87.1,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69,2ua5bFkZLZl1lIgKWtYZIz,English,0.12,0.634,0.703,0.05,-5.085,0.423,0.142,131.562,0.336,0.238
Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2020,72,105.1,https://i.scdn.co/image/ab67616d0000b273dea510881ec1e506485303e4,0fEO7g2c5onkaXsybEtuD2,English,0.134,0.793,0.659,0.0,-5.904,0.625,0.26,136.116,0.503,0.258
Lil Uzi Vert,Eternal Atake,2020,73,62.2,https://i.scdn.co/image/ab67616d0000b273d5f1bbe527fa685633339add,7IyoGB8J31fvQDwGtHAq9m,English,0.148,0.789,0.656,0.0,-5.744,0.667,0.254,134.501,0.483,0.282
